"ID","LOSSAPPROVALID","LOSSAPPROVALCOMCODE","VEHSERINAME","IS4S","REPAIRTYPE","COMPNAME","REGISTNO","SUMVERILOSS","DC","VERIFYFINALDATE"
"1735023","C2019530100380023187","53010038","东风悦达起亚凯绅","1","3","左前减震器拆装","RDDG320190000014498946","350.00","","2019/7/19 11:55:40"
"1735024","C2019120100720017716","12010072","上海通用别克君越","1","1","前保险杠(全喷)","RDDG320190000014604466","850.00","","2019/7/29 18:07:26"
"1735025","C2019320102210007919","32010221","东风日产轩逸","1","3","行李箱盖拆装","RDDC320190000014572117","120.00","","2019/7/26 15:43:30"
"1735026","C2019370106050004892","37010000","天津一汽骏派D60","1","1","右后叶子板(全喷)","RDDC320190000014491410","238.00","","2019/7/19 18:13:58"
"1735027","C2019460100000004441","46010000","一汽奥迪A3","0","3","前保险杠拆装(含附件)","RDDC320190000014384540","100.00","","2019/7/2 11:15:29"
"1735028","C2019360123050005176","36012305","帝豪EC","1","1","左前叶子板(全喷)","RDFA320190000014476843","300.00","","2019/7/9 10:27:41"
"1735029","C2019530128060002097","53012806","东风日产骐达","0","3","后保险杠拆装(含附件)","RDDG320190000014416798","189.00","","2019/7/3 10:46:20"
"1735030","C2019330112000003928","33011013","宝骏730","0","2","右前叶子板整形修复(大)","RDFA320190000014614606","250.00","","2019/7/29 17:07:40"
"1735031","C2019440138050001181","44013805","长安福特福睿斯","0","3","中冷器拆装","RDDG320190000014389554","70.00","","2019/7/9 10:28:02"
"1735032","C2019370113040002390","37011304","江淮瑞风S3","0","1","左前叶子板(全喷)","RDDG320190000014469130","171.00","","2019/7/17 10:49:54"
"1735033","C2019310101110019546","31010111","启辰T70","0","1","前保险杠(全喷)","RDDC320190000014398961","324.00","","2019/7/4 14:08:31"
"1735034","C2019140116030003078","14011699","飞碟UFO","1","1","备胎槽喷漆","RDFA320190000014249937","200.00","","2019/7/10 11:22:48"
"1735035","C2019530113050002501","53011305","长安欧诺","0","1","左后叶子板(全喷)","RDDG320190000014480688","360.00","","2019/7/9 15:36:32"
"1735036","C2019530100380024113","53010038","沃尔沃亚太XC60","1","1","右前叶子板(全喷)","RDFA320190000014615677","550.00","","2019/7/28 11:26:25"
"1735037","C2019530114300000804","53011430","长安之星","1","1","前保险杠(全喷)","RDFA320190000014596993","304.00","","2019/7/25 21:51:02"
"1735038","C2019310101110018886","31010111","上海通用别克昂科威","1","3","后保险杠皮拆装","RDDC320190000014355722","145.00","","2019/7/11 9:20:28"
"1735039","C2019330139070000560","33013907","上海通用雪佛兰乐风","1","1","前保险杠(全喷)","RDFA320190000014643301","400.00","","2019/7/31 15:40:37"
"1735040","C2019330132000001083","33013200","上海大众桑塔纳","1","1","右后叶子板(全喷)","RDDC320190000014567444","300.00","","2019/7/22 16:26:37"
"1735041","C2019140109220006083","14010922","上海大众朗逸","1","3","前保险杠内杠拆装","RDFA320190000014297563","150.00","","2019/7/5 10:57:45"
"1735042","C2019330113100015879","33011310","奇瑞捷豹路虎发现神行","1","1","后围板喷漆","RDDG320190000014493119","300.00","","2019/7/24 9:30:53"
"1735043","C2019330117000002547","33011700","博越","0","2","后保险杠修复(大)","RDDC320190000014588082","200.00","","2019/7/24 10:57:42"
"1735044","C2019430100310014926","43010031","长安之星","0","1","行李箱盖(全喷)","RDFA320190000014589327","200.00","","2019/7/25 13:36:31"
